DATE,DEXKOUS
2016-12-02,1167.7000
2016-12-05,1168.1100
2016-12-06,1171.5000
2016-12-07,1161.6700
2016-12-08,1162.4900
2016-12-09,1171.8800
2016-12-12,1164.3700
2016-12-13,1164.6500
2016-12-14,1165.1300
2016-12-15,1185.3500
2016-12-16,1183.7200
2016-12-19,1187.7100
2016-12-20,1192.1300
2016-12-21,1193.9100
2016-12-22,1204.6500
2016-12-23,1201.5100
2016-12-26,.
2016-12-27,1207.6800
2016-12-28,1212.2200
2016-12-29,1207.0500
2016-12-30,1203.7300
2017-01-02,.
2017-01-03,1207.2300
2017-01-04,1198.0700
2017-01-05,1182.4600
2017-01-06,1198.8500
2017-01-09,1200.5100
2017-01-10,1196.9600
2017-01-11,1197.5900
2017-01-12,1170.9300
2017-01-13,1177.8100
2017-01-16,.
2017-01-17,1161.6100
2017-01-18,1170.7300
2017-01-19,1177.0300
2017-01-20,.
2017-01-23,1165.8200
2017-01-24,1165.2500
2017-01-25,1164.1300
2017-01-26,1169.6100
2017-01-27,1175.7300
2017-01-30,1171.2700
2017-01-31,1151.4500
2017-02-01,1154.4500
2017-02-02,1139.9000
2017-02-03,1134.6500
2017-02-06,1134.8700
2017-02-07,1142.8900
2017-02-08,1143.2500
2017-02-09,1149.8800
2017-02-10,1146.7800
2017-02-13,1150.1600
2017-02-14,1139.3300
2017-02-15,1136.4600
2017-02-16,1140.5700
2017-02-17,1150.7300
2017-02-20,.
2017-02-21,1143.6300
2017-02-22,1142.1500
2017-02-23,1129.8400
2017-02-24,1130.4100
2017-02-27,1130.1400
2017-02-28,1129.1700
2017-03-01,1140.7500
2017-03-02,1146.9000
2017-03-03,1156.7700
2017-03-06,1154.3600
2017-03-07,1149.8700
2017-03-08,1154.6900
2017-03-09,1158.1200
2017-03-10,1150.3700
2017-03-13,1150.3700
2017-03-14,1148.5400
2017-03-15,1144.1600
2017-03-16,1148.5400
2017-03-17,1128.6700
2017-03-20,1112.2900
2017-03-21,1118.2300
2017-03-22,1117.9100
2017-03-23,1117.9100
2017-03-24,1116.6900
2017-03-27,1108.3000
2017-03-28,1111.5100
2017-03-29,1112.2800
2017-03-30,1114.1100
2017-03-31,1117.4800
2017-04-03,1117.6500
2017-04-04,1122.6100
2017-04-05,1126.5800
2017-04-06,1131.2100
2017-04-07,1133.8900
2017-04-10,1141.2400
2017-04-11,1147.7700
2017-04-12,1138.8300
2017-04-13,1133.3200
2017-04-14,1136.6700
2017-04-17,1134.2500
2017-04-18,1143.8900
2017-04-19,1142.3700
2017-04-20,1136.2900
2017-04-21,1134.2200
2017-04-24,1132.1900
2017-04-25,1126.5400
2017-04-26,1133.1700
2017-04-27,1133.8300
2017-04-28,1136.9900
2017-05-01,1134.8700
2017-05-02,1129.1600
2017-05-03,1131.2500
2017-05-04,1134.2000
2017-05-05,1136.4900
2017-05-08,1132.9100
2017-05-09,1134.8400
2017-05-10,1132.1300
2017-05-11,1127.5100
2017-05-12,1121.6800
2017-05-15,1115.0100
2017-05-16,1115.0000
2017-05-17,1118.6700
2017-05-18,1129.1700
2017-05-19,1116.7100
2017-05-22,1114.7100
2017-05-23,1125.0200
2017-05-24,1122.8300
2017-05-25,1119.7100
2017-05-26,1118.6700
2017-05-29,.
2017-05-30,1122.8700
2017-05-31,1119.5800
2017-06-01,1120.8500
2017-06-02,1117.4900
2017-06-05,1118.4400
2017-06-06,1118.5300
2017-06-07,1124.1600
2017-06-08,1122.7300
2017-06-09,1123.5100
2017-06-12,1130.5500
2017-06-13,1127.7900
2017-06-14,1116.4500
2017-06-15,1129.9100
2017-06-16,1133.2000
2017-06-19,1134.6900
2017-06-20,1141.3300
2017-06-21,1143.0100
2017-06-22,1143.0100
2017-06-23,1132.9900
2017-06-26,1132.4800
2017-06-27,1137.7700
2017-06-28,1141.9100
2017-06-29,1144.0700
2017-06-30,1143.7500
2017-07-03,1149.2600
2017-07-04,.
2017-07-05,1153.0600
2017-07-06,1156.5500
2017-07-07,1153.8500
2017-07-10,1149.3500
2017-07-11,1149.8300
2017-07-12,1138.3200
2017-07-13,1137.2200
2017-07-14,1127.7900
2017-07-17,1127.7400
2017-07-18,1123.6900
2017-07-19,1122.9200
2017-07-20,1120.7700
2017-07-21,1117.4700
2017-07-24,1113.8200
2017-07-25,1117.0200
2017-07-26,1117.7600
2017-07-27,1115.1500
2017-07-28,1121.4900
2017-07-31,1121.8600
2017-08-01,1121.0900
2017-08-02,1121.5500
2017-08-03,1127.7300
2017-08-04,1128.0200
2017-08-07,1127.3900
2017-08-08,1125.6000
2017-08-09,1138.6900
2017-08-10,1144.3600
2017-08-11,1141.5700
2017-08-14,1137.2200
2017-08-15,1135.4700
2017-08-16,1137.7500
2017-08-17,1138.2300
2017-08-18,1139.8300
2017-08-21,1137.1400
2017-08-22,1131.7900
2017-08-23,1128.5900
2017-08-24,1127.8000
2017-08-25,1121.7300
2017-08-28,1117.7500
2017-08-29,1122.5000
2017-08-30,1122.0500
2017-08-31,1122.3600
2017-09-01,1119.1200
2017-09-04,.
2017-09-05,1130.0100
2017-09-06,1132.4900
2017-09-07,1125.4900
2017-09-08,1133.0800
2017-09-11,1129.7500
2017-09-12,1126.5600
2017-09-13,1129.3700
2017-09-14,1132.5900
2017-09-15,1130.6800
2017-09-18,1127.0700
2017-09-19,1128.8300
2017-09-20,1125.5300
2017-09-21,1130.8700
2017-09-22,1130.3900
2017-09-25,1134.5900
2017-09-26,1136.2900
2017-09-27,1141.6200
2017-09-28,1145.0800
2017-09-29,1142.5700
2017-10-02,1146.1800
2017-10-03,1140.5000
2017-10-04,1140.4400
2017-10-05,1139.0300
2017-10-06,1143.4600
2017-10-09,.
2017-10-10,1132.0800
2017-10-11,1131.0400
2017-10-12,1129.7100
2017-10-13,1125.0100
2017-10-16,1127.7200
2017-10-17,1129.8600
2017-10-18,1130.9400
2017-10-19,1129.0600
2017-10-20,1130.6900
2017-10-23,1129.7300
2017-10-24,1128.3600
2017-10-25,1126.4900
2017-10-26,1123.0000
2017-10-27,1124.7900
